id,purchase_date,item_name,total_amount,name_status,source_ref,note
1,2026-05-27,1 kilo ghee,490.0,wazeh,XLS-ITEM-001,Corrected workbook ID 1; name status: wazeh
2,2026-05-27,Basin adh kilo,80.0,ghair wazeh,XLS-ITEM-002,Corrected workbook ID 2; name status: ghair wazeh
3,2026-05-27,Bottle 2 litter,320.0,wazeh,XLS-ITEM-003,Corrected workbook ID 3; name status: wazeh
4,2026-05-27,Cheeni 2 kilo,320.0,wazeh,XLS-ITEM-004,Corrected workbook ID 4; name status: wazeh
5,2026-05-27,Saban,120.0,wazeh,XLS-ITEM-005,Corrected workbook ID 5; name status: wazeh
6,2026-05-27,saban bartan wala,50.0,wazeh,XLS-ITEM-006,Corrected workbook ID 6; name status: wazeh
7,2026-05-27,Neel,40.0,wazeh,XLS-ITEM-007,Corrected workbook ID 7; name status: wazeh
8,2026-05-27,Sabzi masala,50.0,wazeh,XLS-ITEM-008,Corrected workbook ID 8; name status: wazeh
9,2026-05-27,Pyaaz,120.0,wazeh,XLS-ITEM-009,Corrected workbook ID 9; name status: wazeh
10,2026-05-27,Patti,250.0,wazeh,XLS-ITEM-010,Corrected workbook ID 10; name status: wazeh
11,2026-05-27,Chawal aur masala,570.0,ghair wazeh,XLS-ITEM-011,Corrected workbook ID 11; name status: ghair wazeh
12,2026-05-27,Qorma masala,80.0,ghair wazeh,XLS-ITEM-012,Corrected workbook ID 12; name status: ghair wazeh
13,2026-05-27,Achar gosht,100.0,wazeh,XLS-ITEM-013,Corrected workbook ID 13; name status: wazeh
14,2026-05-27,Bottle,160.0,wazeh,XLS-ITEM-014,Corrected workbook ID 14; name status: wazeh
15,2026-05-27,Lays,90.0,na-samajh,XLS-ITEM-015,Corrected workbook ID 15; name status: na-samajh
16,2026-05-27,Karela,100.0,wazeh,XLS-ITEM-016,Corrected workbook ID 16; name status: wazeh
17,2026-05-30,"Dahi aur phaliya, masala",350.0,ghair wazeh,XLS-ITEM-017,Corrected workbook ID 17; name status: ghair wazeh
18,2026-05-30,Bottle aur Lays,130.0,ghair wazeh,XLS-ITEM-018,Corrected workbook ID 18; name status: ghair wazeh
19,2026-05-30,Aalo,50.0,wazeh,XLS-ITEM-019,Corrected workbook ID 19; name status: wazeh
20,2026-05-30,Adrak aur biryani masala,90.0,ghair wazeh,XLS-ITEM-020,Corrected workbook ID 20; name status: ghair wazeh
21,2026-05-30,Tezab,100.0,wazeh,XLS-ITEM-021,Corrected workbook ID 21; name status: wazeh
22,2026-05-30,"rang,gheri,sogi",140.0,ghair wazeh,XLS-ITEM-022,Corrected workbook ID 22; name status: ghair wazeh
23,2026-06-03,Saban,100.0,wazeh,XLS-ITEM-023,Corrected workbook ID 23; name status: wazeh
24,2026-06-03,Saban,50.0,wazeh,XLS-ITEM-024,Corrected workbook ID 24; name status: wazeh
25,2026-06-03,Saban,60.0,wazeh,XLS-ITEM-025,Corrected workbook ID 25; name status: wazeh
26,2026-06-03,Bottle,160.0,wazeh,XLS-ITEM-026,Corrected workbook ID 26; name status: wazeh
27,2026-06-03,Surf,120.0,wazeh,XLS-ITEM-027,Corrected workbook ID 27; name status: wazeh
28,2026-06-03,Chawal,100.0,wazeh,XLS-ITEM-028,Corrected workbook ID 28; name status: wazeh
29,2026-06-03,Chawal,200.0,wazeh,XLS-ITEM-029,Corrected workbook ID 29; name status: wazeh
30,2026-06-03,Adha kilo dahi,110.0,ghair wazeh,XLS-ITEM-030,Corrected workbook ID 30; name status: ghair wazeh
31,2026-06-03,Chawal,200.0,wazeh,XLS-ITEM-031,Corrected workbook ID 31; name status: wazeh
32,2026-06-03,Aalo,50.0,wazeh,XLS-ITEM-032,Corrected workbook ID 32; name status: wazeh
33,2026-06-03,Masala,50.0,wazeh,XLS-ITEM-033,Corrected workbook ID 33; name status: wazeh
34,2026-06-03,Bottle juice wali,150.0,wazeh,XLS-ITEM-034,Corrected workbook ID 34; name status: wazeh
35,2026-06-03,Sabzi,40.0,wazeh,XLS-ITEM-035,Corrected workbook ID 35; name status: wazeh
36,2026-06-03,Sabzi,120.0,wazeh,XLS-ITEM-036,Corrected workbook ID 36; name status: wazeh
37,2026-06-03,Patti,100.0,wazeh,XLS-ITEM-037,Corrected workbook ID 37; name status: wazeh
38,2026-06-03,Haldi,50.0,ghair wazeh,XLS-ITEM-038,Corrected workbook ID 38; name status: ghair wazeh
39,2026-06-03,Cheeni,150.0,wazeh,XLS-ITEM-039,Corrected workbook ID 39; name status: wazeh
40,2026-06-03,Anda,40.0,wazeh,XLS-ITEM-040,Corrected workbook ID 40; name status: wazeh
41,2026-06-03,Masala,150.0,wazeh,XLS-ITEM-041,Corrected workbook ID 41; name status: wazeh
42,2026-06-03,Cheez,150.0,ghair wazeh,XLS-ITEM-042,Corrected workbook ID 42; name status: ghair wazeh
43,2026-06-13,Dahi aur sabzi,100.0,ghair wazeh,XLS-ITEM-043,Corrected workbook ID 43; name status: ghair wazeh
44,2026-06-13,Bottle Sprite,150.0,wazeh,XLS-ITEM-044,Corrected workbook ID 44; name status: wazeh
45,2026-06-13,Chawal,300.0,wazeh,XLS-ITEM-045,Corrected workbook ID 45; name status: wazeh
46,2026-06-13,Sabzi,100.0,wazeh,XLS-ITEM-046,Corrected workbook ID 46; name status: wazeh
47,2026-06-13,Sabzi,50.0,wazeh,XLS-ITEM-047,Corrected workbook ID 47; name status: wazeh
48,2026-06-13,Cheez,150.0,wazeh,XLS-ITEM-048,Corrected workbook ID 48; name status: wazeh
49,2026-06-13,Saban,130.0,wazeh,XLS-ITEM-049,Corrected workbook ID 49; name status: wazeh
50,2026-06-13,Surf,50.0,wazeh,XLS-ITEM-050,Corrected workbook ID 50; name status: wazeh
51,2026-06-13,Sawinya,50.0,ghair wazeh,XLS-ITEM-051,Corrected workbook ID 51; name status: ghair wazeh
